Department,Escalation 1,Mobile Number,Email,Escalation 2,Mobile Number,Email,Escalation 3,Mobile Number,Email
Delhivery - Payroll,Sindhuja,9988774455,sindhuja@quantumbusiness.in,Chandu,9874563210,support-hrm-system@quantumrobust.com,RunVijay,9955668877,runvijay@quantumrobust.com
Blinkit - Payroll,Client Support,9988774455,cs@quantumrobust.com,Nishaanth,9874563210,nishaanth@quantumbusiness.in,RunVijay,9955668877,runvijay@quantumrobust.com
ZHPL - Payroll,Client Support,9988774455,cs@quantumrobust.com,Nishaanth,9874563210,nishaanth@quantumbusiness.in,RunVijay,9955668877,runvijay@quantumrobust.com
Finance,Ajay,9988774455,ajay@quantumbusiness.in,RunVijay,9874563210,runvijay@quantumrobust.com,RunVijay,9955668877,runvijay@quantumrobust.com
Swiggy - Payroll,Ankit,9988774455,ankit.ext@quantumrobust.com,Ankit,9874563210,ankit.ext@quantumrobust.com,RunVijay,9955668877,runvijay@quantumrobust.com
Delhivery - Payroll,RunVijay,9955668877,runvijay@quantumrobust.com,Sindhuja,9988774455,sindhuja@quantumbusiness.in,Chandu,9874563210,support-hrm-system@quantumrobust.com
Blinkit - Payroll,RunVijay,9955668877,runvijay@quantumrobust.com,Client Support,9988774455,cs@quantumrobust.com,Nishaanth,9874563210,nishaanth@quantumbusiness.in
ZHPL - Payroll,RunVijay,9955668877,runvijay@quantumrobust.com,Client Support,9988774455,cs@quantumrobust.com,Nishaanth,9874563210,nishaanth@quantumbusiness.in
Finance,RunVijay,9955668877,runvijay@quantumrobust.com,Ajay,9988774455,ajay@quantumbusiness.in,RunVijay,9874563210,runvijay@quantumrobust.com
Swiggy - Payroll,RunVijay,9955668877,runvijay@quantumrobust.com,Ankit,9988774455,ankit.ext@quantumrobust.com,Ankit,9874563210,ankit.ext@quantumrobust.com
